CVEGEO,Nomestado,Nommunicipio,Idcultivo,Nomcultivo,Idciclo,Nomcicloproductivo,Volumenproduccion,Valorproduccion
01001,Aguascalientes,Aguascalientes,5490000,Avena forrajera en verde,1,Otoño-Invierno,49137.2,31249785.08
01001,Aguascalientes,Aguascalientes,5670000,Brócoli,1,Otoño-Invierno,688.0,2614400.0
01001,Aguascalientes,Aguascalientes,15050000,Pastos y praderas,1,Otoño-Invierno,18225.0,9486112.5
01001,Aguascalientes,Aguascalientes,5490000,Avena forrajera en verde,2,Primavera-Verano,3794.0,2323483.54
01001,Aguascalientes,Aguascalientes,5670000,Brócoli,2,Primavera-Verano,785.2,2906904.62
01001,Aguascalientes,Aguascalientes,6120000,Chile verde,2,Primavera-Verano,247.35,1014650.0
01001,Aguascalientes,Aguascalientes,6120000,Chile verde,2,Primavera-Verano,162.0,2139020.46
01001,Aguascalientes,Aguascalientes,6120000,Chile verde,2,Primavera-Verano,135.03,2702621.4
01001,Aguascalientes,Aguascalientes,6820000,Fresa,2,Primavera-Verano,215.5,3761992.12
01001,Aguascalientes,Aguascalientes,7470000,Maíz forrajero en verde,2,Primavera-Verano,249440.0,186191993.6
01001,Aguascalientes,Aguascalientes,7490000,Maíz grano,2,Primavera-Verano,2840.0,9411760.0
01001,Aguascalientes,Aguascalientes,8790000,Sorgo forrajero en verde,2,Primavera-Verano,5200.0,3239600.0
01001,Aguascalientes,Aguascalientes,8970000,Tomate rojo (jitomate),2,Primavera-Verano,484.0,10062040.56
01001,Aguascalientes,Aguascalientes,8970000,Tomate rojo (jitomate),2,Primavera-Verano,990.0,4561702.2
01001,Aguascalientes,Aguascalientes,8970000,Tomate rojo (jitomate),2,Primavera-Verano,4144.0,51104926.88
01001,Aguascalientes,Aguascalientes,8980000,Tomate verde,2,Primavera-Verano,495.04,1487817.97
01001,Aguascalientes,Aguascalientes,9090000,Triticale forrajero en verde,2,Primavera-Verano,839.8,516477.0
01001,Aguascalientes,Aguascalientes,9270000,Zanahoria,2,Primavera-Verano,680.4,2048004.0
01001,Aguascalientes,Aguascalientes,5490000,Avena forrajera en verde,2,Primavera-Verano,160.0,110400.0
01001,Aguascalientes,Aguascalientes,6840000,Frijol,2,Primavera-Verano,4.0,37448.0
01001,Aguascalientes,Aguascalientes,7470000,Maíz forrajero en verde,2,Primavera-Verano,66105.0,46309196.7
01001,Aguascalientes,Aguascalientes,7490000,Maíz grano,2,Primavera-Verano,2671.5,14456875.68
01001,Aguascalientes,Aguascalientes,5170000,Alfalfa,3,Perennes,97440.0,74917718.4
01001,Aguascalientes,Aguascalientes,6530000,Durazno,3,Perennes,181.56,2726401.19
01001,Aguascalientes,Aguascalientes,7010000,Granada,3,Perennes,6.2,18910.0
01001,Aguascalientes,Aguascalientes,7690000,Membrillo,3,Perennes,4.8,24120.0
01001,Aguascalientes,Aguascalientes,7920000,Nopalitos,3,Perennes,907.5,2452836.38
01001,Aguascalientes,Aguascalientes,7960000,Nuez,3,Perennes,165.67,6033701.4
01001,Aguascalientes,Aguascalientes,9130000,Uva,3,Perennes,324.0,4728375.0
01001,Aguascalientes,Aguascalientes,9130000,Uva,3,Perennes,283.62,1896535.74
01001,Aguascalientes,Aguascalientes,15050000,Pastos y praderas,3,Perennes,16450.0,10199000.0
01001,Aguascalientes,Aguascalientes,5050000,Agave,3,Perennes,0.0,0.0
01001,Aguascalientes,Aguascalientes,9120000,Tuna,3,Perennes,153.0,489600.0
01001,Aguascalientes,Aguascalientes,15050000,Pastos y praderas,3,Perennes,4000.36,1680151.2
01005,Aguascalientes,Jesús María,5490000,Avena forrajera en verde,1,Otoño-Invierno,15925.0,10121133.75
01005,Aguascalientes,Jesús María,5670000,Brócoli,1,Otoño-Invierno,311.85,1213096.5
01005,Aguascalientes,Jesús María,5940000,Cebolla,1,Otoño-Invierno,132.0,570240.0
01005,Aguascalientes,Jesús María,6330000,Coliflor,1,Otoño-Invierno,70.0,234500.0
01005,Aguascalientes,Jesús María,7330000,Lechuga,1,Otoño-Invierno,258.0,1651200.0
01005,Aguascalientes,Jesús María,15050000,Pastos y praderas,1,Otoño-Invierno,4700.0,3033850.0
01005,Aguascalientes,Jesús María,5010000,Acelga,2,Primavera-Verano,133.0,312564.63
01005,Aguascalientes,Jesús María,5490000,Avena forrajera en verde,2,Primavera-Verano,1350.0,769945.5
01005,Aguascalientes,Jesús María,5640000,Betabel,2,Primavera-Verano,36.0,90000.0
01005,Aguascalientes,Jesús María,5670000,Brócoli,2,Primavera-Verano,750.0,2795250.0
01005,Aguascalientes,Jesús María,5940000,Cebolla,2,Primavera-Verano,615.0,1506750.0
01005,Aguascalientes,Jesús María,6070000,Chícharo,2,Primavera-Verano,90.2,213028.05
01005,Aguascalientes,Jesús María,6120000,Chile verde,2,Primavera-Verano,494.49,3975094.84
01005,Aguascalientes,Jesús María,6120000,Chile verde,2,Primavera-Verano,152.0,1208400.0
01005,Aguascalientes,Jesús María,6190000,Cilantro,2,Primavera-Verano,105.0,317100.0
01005,Aguascalientes,Jesús María,6310000,Col (repollo),2,Primavera-Verano,240.0,648000.0
01005,Aguascalientes,Jesús María,6330000,Coliflor,2,Primavera-Verano,351.0,1115948.34
01005,Aguascalientes,Jesús María,6840000,Frijol,2,Primavera-Verano,8.1,84402.0
01005,Aguascalientes,Jesús María,7330000,Lechuga,2,Primavera-Verano,300.0,966852.0
01005,Aguascalientes,Jesús María,7470000,Maíz forrajero en verde,2,Primavera-Verano,59090.0,41571587.7
01005,Aguascalientes,Jesús María,7490000,Maíz grano,2,Primavera-Verano,1208.0,4117770.0
01005,Aguascalientes,Jesús María,8490000,Rábano,2,Primavera-Verano,62.67,66570.0
01005,Aguascalientes,Jesús María,8790000,Sorgo forrajero en verde,2,Primavera-Verano,828.0,540038.16
01005,Aguascalientes,Jesús María,8970000,Tomate rojo (jitomate),2,Primavera-Verano,1750.0,7625625.0
01005,Aguascalientes,Jesús María,8970000,Tomate rojo (jitomate),2,Primavera-Verano,1760.0,11658644.8
01005,Aguascalientes,Jesús María,8980000,Tomate verde,2,Primavera-Verano,805.0,2302300.0
01005,Aguascalientes,Jesús María,8980000,Tomate verde,2,Primavera-Verano,59.69,231383.51
01005,Aguascalientes,Jesús María,9270000,Zanahoria,2,Primavera-Verano,396.0,1250457.12
